Date,Day,5p,6p,7p,8p,9p,10p
2017-08-22,Tuesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-08-23,Wednesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-08-24,Thursday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-08-25,Friday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-08-26,Saturday,MSNBC Live,MSNBC Joy Reid,The Rachel Maddow Show,,,The 11th Hour With Brian Williams
2017-08-27,Sunday,MSNBC Live,MSNBC Live,Meet the Press,Dateline Extra,,
2017-08-28,Monday,MTP Daily,For the Record With Greta,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-08-29,Tuesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-08-30,Wednesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-08-31,Thursday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-09-01,Friday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-09-02,Saturday,MSNBC Live,MSNBC Joy Reid,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell,The 11th Hour With Brian Williams,
2017-09-03,Sunday,MSNBC Live,MSNBC Live,Meet the Press,Dateline Extra,,
2017-09-04,Monday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-09-05,Tuesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-09-06,Wednesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-09-07,Thursday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-09-08,Friday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-09-09,Saturday,MSNBC Live,MSNBC Joy Reid,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell,The 11th Hour With Brian Williams,
2017-09-10,Sunday,MSNBC Live,MSNBC Live,MSNBC Live,MSNBC Live,MSNBC Live,MSNBC Live
2017-09-11,Monday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-09-12,Tuesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-09-13,Wednesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-09-14,Thursday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-09-15,Friday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-09-16,Saturday,MSNBC Live,MSNBC Joy Reid,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell,The 11th Hour With Brian Williams,
2017-09-17,Sunday,MSNBC Live,MSNBC Live,Meet the Press,Dateline Extra,,
2017-09-18,Monday,MTP Daily,For the Record With Greta,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-09-19,Tuesday,MTP Daily,For the Record With Greta,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-09-20,Wednesday,MTP Daily,For the Record With Greta,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-09-21,Thursday,MTP Daily,For the Record With Greta,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-09-22,Friday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-09-23,Saturday,,,,,,
2017-09-24,Sunday,MSNBC Live,MSNBC Live,Meet the Press,Dateline Extra,,
2017-09-25,Monday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-09-26,Tuesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-09-27,Wednesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-09-28,Thursday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-09-29,Friday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-09-30,Saturday,MSNBC Live,MSNBC Joy Reid,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell,The 11th Hour With Brian Williams,
2017-10-01,Sunday,MSNBC Live,MSNBC Live,Meet the Press,Dateline Extra,,
2017-10-02,Monday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-10-03,Tuesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-10-04,Wednesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-10-05,Thursday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-10-06,Friday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-10-07,Saturday,MSNBC Live,MSNBC Joy Reid,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell,The 11th Hour With Brian Williams,
2017-10-08,Sunday,MSNBC Live,MSNBC Live,Meet the Press,Dateline Extra,,
2017-10-09,Monday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-10-10,Tuesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-10-11,Wednesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-10-12,Thursday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-10-13,Friday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-10-14,Saturday,MSNBC Live,MSNBC Joy Reid,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell,The 11th Hour With Brian Williams,
2017-10-15,Sunday,MSNBC Live,MSNBC Live,Meet the Press,Dateline Extra,,
2017-10-16,Monday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-10-17,Tuesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-10-18,Wednesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-10-19,Thursday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-10-20,Friday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-10-21,Saturday,MSNBC Live,MSNBC Joy Reid,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell,The 11th Hour With Brian Williams,
2017-10-22,Sunday,MSNBC Live,Meet the Press,Kasie DC (2 hours),,Dateline Extra,
2017-10-23,Monday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-10-24,Tuesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-10-25,Wednesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-10-26,Thursday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
