Date,Day,5p,6p,7p,8p,9p,10p
2017-06-10,Saturday,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,CNN Special Report,
2017-06-11,Sunday,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,,
2017-06-12,Monday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-06-13,Tuesday,,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-06-14,Wednesday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-06-15,Thursday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-06-16,Friday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-06-17,Saturday,CNN Newsroom With Ana Cabrera,Smerconish,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,,
2017-06-18,Sunday,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,,
2017-06-19,Monday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-06-20,Tuesday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-06-21,Wednesday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-06-22,Thursday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-06-23,Friday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Special Report
2017-06-24,Saturday,CNN Newsroom With Ana Cabrera,Smerconish,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,CNN Special Report: Pulse of Orlando: Terror at the Nightclub,
2017-06-25,Sunday,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,,
2017-06-26,Monday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-06-27,Tuesday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Special Report
2017-06-28,Wednesday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-06-29,Thursday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-06-30,Friday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Special Report: Pulse of Orlando: Terror at the Nightclub
2017-07-01,Saturday,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,,,The Seventies
2017-07-02,Sunday,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,,,
2017-07-03,Monday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,The Seventies,The Seventies,The Seventies
2017-07-04,Tuesday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,The Eighties (2 hours),,The Eighties,The Eighties
2017-07-05,Wednesday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-07-06,Thursday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,CNN Tonight With Don Lemon
2017-07-07,Friday,Situation Room With Wolf Blitzer,Situation Room With Wolf Blitzer,Erin Burnett OutFront,Anderson Cooper 360,Anderson Cooper 360,The Seventies
2017-07-08,Saturday,CNN Newsroom With Ana Cabrera,Smerconish,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,The Eighties (2 hours),
2017-07-09,Sunday,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,CNN Newsroom With Ana Cabrera,The Nineties (2 hours),
