Date,Day,5p,6p,7p,8p,9p,10p
2017-09-14,Thursday,Shepard Smith Reporting,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,The Five,Hannity
2017-09-15,Friday,Shepard Smith Reporting,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,The Five,Hannity
2017-09-16,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2017-09-17,Sunday,The Greg Gutfeld Show,America's News HQ,Fox Report Sunday,,The Next Revolution With Steve Hilton,Fox News Sunday With Chris Wallace
2017-09-18,Monday,,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,The Five,Hannity
2017-09-19,Tuesday,,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,The Five,Hannity
2017-09-20,Wednesday,,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,The Five,Hannity
2017-09-21,Thursday,Special Report With Bret Baier (2 hours),,The Story With Martha MacCallum,Tucker Carlson Tonight,The Five,Hannity
2017-09-22,Friday,Special Report With Bret Baier (2 hours),,The Story With Martha MacCallum,Tucker Carlson Tonight,The Five,Hannity
2017-09-23,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2017-09-24,Sunday,The Greg Gutfeld Show,America's News HQ,Fox Report Sunday,,The Next Revolution With Steve Hilton,Fox News Sunday With Chris Wallace
2017-09-25,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,Fox News Tonight
2017-09-26,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,Fox News Tonight
2017-09-27,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,Fox News Tonight
2017-09-28,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,Fox News Tonight
2017-09-29,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,Fox News Tonight
2017-09-30,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2017-10-01,Sunday,The Greg Gutfeld Show,America's News HQ,Fox Report Sunday,,The Next Revolution With Steve Hilton,Fox News Sunday With Chris Wallace
2017-10-02,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,Fox News Tonight
2017-10-03,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,Fox News Tonight
2017-10-04,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,Fox News Tonight
2017-10-05,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,Fox News Tonight
2017-10-06,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,Fox News Tonight
2017-10-07,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2017-10-08,Sunday,The Greg Gutfeld Show,America's News HQ,Fox Report Sunday,,The Next Revolution With Steve Hilton,Fox News Sunday With Chris Wallace
2017-10-09,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,Fox News Tonight
2017-10-10,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,Fox News Tonight
2017-10-11,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,Fox News Tonight
2017-10-12,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,Fox News Tonight
2017-10-13,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,Fox News Tonight
2017-10-14,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2017-10-15,Sunday,The Greg Gutfeld Show,America's News HQ,Fox Report Sunday,,The Next Revolution With Steve Hilton,Fox News Sunday With Chris Wallace
2017-10-16,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,Fox News Tonight
2017-10-17,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,Fox News Tonight
2017-10-18,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,Fox News Tonight
2017-10-19,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,Fox News Tonight
2017-10-20,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,Fox News Tonight
2017-10-21,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2017-10-22,Sunday,The Greg Gutfeld Show,America's News HQ,Fox Report Sunday,,The Next Revolution With Steve Hilton,Fox News Sunday With Chris Wallace
2017-10-23,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,Fox News Tonight
2017-10-24,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,Fox News Tonight
2017-10-25,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,Fox News Tonight
2017-10-26,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,Fox News Tonight
2017-10-27,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,Fox News Tonight
2017-10-28,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
